title,denomination,year,action,reason
이초석예수중심교회(구 한국예루살렘교회),기성,1994/88,이단,
이초석예수중심교회(구 한국예루살렘교회),합신합동,,,
이태화,고신,1991/41,이단,
이현래대구교회,고신,2009/59,이단,
이호빈,통합,1933/22,이단으로 간주할수 있는 단체로각 노회에 주의 통첩,신비주의
인터콥최바울,통합,2011/96,"예의주시, 참여자제","하나님의 사정', '백투예루살렘'의문제,베뢰아의 연관성, 신사도운동,사과문의 진정성 문제"
인터콥최바울,통합,2013/98,96회기 결의유지,
인터콥최바울,통합,2015/100,96회기 결의유지,
인터콥최바울,통합,2022/107,96회기 결의유지,
인터콥최바울,통합,2023/108,참여자제 및예의주시 유지,
인터콥최바울,합동,2013/98,교류단절,"프리메이슨의 음모론 수용, 극단적인세대주의적 종말론, 이원론적 이분법"
인터콥최바울,합동,2019/104,교류단절 유지,
인터콥최바울,합동,2020/105,참여금지 및 교류단절 유지,
인터콥최바울,합동,2022/107,참여금지 및 교류단절 유지,
인터콥최바울,합신,2013/98,참여금지 및 교류금지,"이원론적 사상, 비성경적 백투예루살렘과복음의 서진운동, 왜곡된 종말론과 적그리스도론"
인터콥최바울,합신,2022/107,이단,"베뢰아, 신사도운동 관련, 양태론,지역교회와 선교지에서 충돌"
인터콥최바울,고신,2014/64,초청금지,"교회론, 서적, 선교적·신학적 차원의 문제"
인터콥최바울,고신,2015/65,참여금지,"교회론, 서적, 선교적·신학적 차원의 문제"
인터콥최바울,고신,2016/66,참여금지,불건전단체
인터콥최바울,고신,2021/71,심각한 이단성을 가진불건전단체,
인터콥최바울,기성,2021/115,경계대상,반기독교적인 행위로교회와 개인의 신앙에부정적인 영향
인터콥최바울,기침,2021,불건전단체,교류 및 참여금지
